,Live Data Exchange
,As of 2026-08-10 11:17:22 Pacific Standard Time/PST • Generated by Keith Boone • Sorted by Organization Name (Ascending)
,Filtered By
,Show: All organizations
,Organization Record Type equals IIS
,Organization ID not equal to 0015f000010meVq
,Organization Name,Organization Name,SME Name,IIS Vendor,List of Live IIS to IIS Data Exchange,TOTAL # of IIS to IIS Connections,List of Live Pro to IIS Data Exchange,TOTAL # of Provider to IIS Connections
,North Carolina,North Carolina,Chantel Hartman,Gainwell Technologies,,,"Department of Defense (DOD), RIISE, Veterans Administration (VistA)",3
,North Dakota,North Dakota,Jennifer Ratliff,Awardee Developed - Blue Cross Blue Shield,"South Dakota, Arizona",2,"Mayo Clinic, RIISE, Veterans Administration (VistA)",3
,Ohio,Ohio,Amee DeMartino,STChealth,"Washington, Indiana, Puerto Rico, Tennessee, West Virginia, District of Columbia, Wyoming, Louisiana, Alaska, Arizona, Mississippi, South Dakota, Florida, Illinois, Kentucky, Michigan, Missouri, Virginia, New Jersey, New York City - New York State, Pennsy",23,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Oklahoma,Oklahoma,Tristi Bond,Envision Technology Partners,"Arkansas, Pennsylvania - Philadelphia, New Mexico, Nevada, Colorado, Kansas, Kentucky, Connecticut, Missouri, Delaware, Pennsylvania",11,"Department of Defense (DOD), RIISE, Veterans Administration (VistA)",3
,Oregon,Oregon,Natalie Johns,Gainwell Technologies,"Nevada, New Mexico",2,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Palau - PI,Palau - PI,Natalie Johns,Envision Technology Partners,"Micronesia - PI, N. Mariana Islands - PI, American Samoa - PI, Marshall Islands - PI, Guam - PI",5
,Pennsylvania,Pennsylvania,Crystal Edwards,Envision Technology Partners,"Delaware, Connecticut, Kentucky, Pennsylvania - Philadelphia, Arkansas, Oklahoma, Colorado, Nevada, Kansas, New Mexico, Missouri, District of Columbia, New Jersey, New York City - New York State, Ohio, Puerto Rico, Virgin Islands U.S., Virginia, West Virg",19,"RIISE, Veterans Administration (VistA)",2
,Pennsylvania - Philadelphia,Pennsylvania - Philadelphia,Crystal Edwards,Envision Technology Partners,"Nevada, New Jersey, Delaware, Oklahoma, Connecticut, New York City - New York State, Illinois, Rhode Island, Pennsylvania, District of Columbia, Maryland, Ohio, Puerto Rico, Virginia, West Virginia",15,"RIISE, Veterans Administration (VistA)",2
,Puerto Rico,Puerto Rico,Crystal Edwards,STChealth,"West Virginia, Wyoming, Ohio, Indiana, Tennessee, Washington, Louisiana, Alaska, Arizona, District of Columbia, Mississippi, South Dakota, Maryland, Virgin Islands U.S., Wisconsin, Illinois, Connecticut, New Mexico, Virginia, Kentucky, New Jersey, New Yor",24,Veterans Administration (VistA),1
,Rhode Island,Rhode Island,Marley Vazquez,Awardee Developed - HLN,"Connecticut, New Jersey, New York City - New York State, Kentucky, Delaware, Michigan, Illinois, Florida, Pennsylvania - Philadelphia",9,"RIISE, VAMS, Veterans Administration (VistA)",3
,San Antonio - Texas,San Antonio - Texas,Tristi Bond,Deloitte,,,"Department of Defense (DOD), Veterans Administration (VistA)",2
,South Carolina,South Carolina,Chantel Hartman,Envision Technology Partners
,South Dakota,South Dakota,Jennifer Ratliff,STChealth,"Washington, Alaska, Arizona, District of Columbia, Indiana, Louisiana, Mississippi, Ohio, Puerto Rico, West Virginia, Wyoming, Tennessee, North Dakota, Virginia",14,"RIISE, Veterans Administration (VistA)",2
,Tennessee,Tennessee,Chantel Hartman,STChealth,"Indiana, Washington, District of Columbia, Puerto Rico, West Virginia, Mississippi, Arizona, Louisiana, Ohio, Kentucky, Florida, Illinois, Michigan, Missouri, Alaska, South Dakota, Wyoming, Virginia, Arkansas",19,"RIISE, Veterans Administration (VistA)",2
,Texas,Texas,Tristi Bond,Deloitte,New Mexico,1,"Department of Defense (DOD), Veterans Administration (VistA)",2
,Utah,Utah,Jennifer Ratliff,Awardee Developed - UT USIIS,"Nevada, New Mexico, Florida, Illinois, Michigan, New Jersey, Arizona, Colorado, Washington, Wyoming",10,"AZOVA, RIISE, VAMS, Veterans Administration (VistA)",4
,Vermont,Vermont,Chantel Hartman,Awardee Developed - VT IMR,,,Veterans Administration (VistA),1
,Virginia,Virginia,Crystal Edwards,STChealth,"Delaware, Maryland, Alaska, Arizona, District of Columbia, Indiana, Louisiana, Mississippi, Ohio, Puerto Rico, South Dakota, Tennessee, Washington, West Virginia, Wyoming, Kentucky, New Jersey, New York City - New York State, Pennsylvania, Pennsylvania - ",21,"DaVita Physician Solutions, Department of Defense (DOD), VAMS, Veterans Administration (VistA)",4
,Virgin Islands U.S.,Virgin Islands U.S.,Crystal Edwards,Optimoz,"New York City - New York State, Florida, Puerto Rico, Maryland, Arizona, Wisconsin, Illinois, Connecticut, New Mexico, District of Columbia, Kentucky, New Jersey, Ohio, Pennsylvania, Virginia, West Virginia",16,Veterans Administration (VistA),1
,Washington,Washington,Natalie Johns,STChealth,"Alaska, Wyoming, Puerto Rico, Louisiana, West Virginia, Ohio, Tennessee, Indiana, District of Columbia, Arizona, Mississippi, South Dakota, Colorado, Nevada, New Mexico, Utah, Virginia",17,"Department of Defense (DOD), RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",4
,West Virginia,West Virginia,Crystal Edwards,STChealth,"Washington, Wyoming, Indiana, Louisiana, Ohio, Tennessee, District of Columbia, Puerto Rico, Alaska, Arizona, Mississippi, South Dakota, Virginia, Kentucky, New Jersey, New York City - New York State, Pennsylvania, Pennsylvania - Philadelphia, Virgin Isla",19,"RIISE, VAMS, Veterans Administration (VistA)",3
,Wisconsin,Wisconsin,Amee DeMartino,Gainwell Technologies,"New Jersey, Puerto Rico, Maryland, Arizona, Virgin Islands U.S., Illinois",6,"RIISE, Veterans Administration (Oracle Health), Veterans Administration (VistA)",3
,Wyoming,Wyoming,Jennifer Ratliff,STChealth,"West Virginia, Louisiana, Ohio, Indiana, Washington, District of Columbia, Puerto Rico, Alaska, Arizona, South Dakota, Mississippi, Tennessee, Colorado, Nevada, New Mexico, Utah, Virginia",17,Veterans Administration (VistA),1
,Total,Sum,,,,612,,147
,,Count,66
